component_type,slug,cve_id,template_id,title,affected_range,fixed_version,fixed_version_key,severity,cvss_score,reference
wp_plugin,bulletproof-security,CVE-2021-39327,CVE-2021-39327,WordPress BulletProof Security 5.1 Information Disclosure,,,,medium,5.3,https://packetstormsecurity.com/files/164420/wpbulletproofsecurity51-disclose.txt
wp_plugin,paid-memberships-pro,CVE-2021-25114,CVE-2021-25114,WordPress Paid Memberships Pro <2.6.7 - Blind SQL Injection,< 2.6.7,2.6.7,00002.00006.00007,critical,9.8,https://wpscan.com/vulnerability/6c25a5f0-a137-4ea5-9422-8ae393d7b76b
wp_plugin,images-to-webp,CVE-2021-24644,CVE-2021-24644,Images to WebP < 1.9 - Authenticated Local File Inclusion,< 1.9,1.9,00001.00009,high,7.5,https://wpscan.com/vulnerability/5a363eeb-9510-4535-97e2-9dfd3b10d511/
wp_plugin,custom-registration-form-builder-with-submission-manager,CVE-2021-24862,CVE-2021-24862,WordPress RegistrationMagic <5.0.1.6 - Authenticated SQL Injection,< 5.0.1.6,5.0.1.6,00005.00000.00001.00006,high,7.2,https://wpscan.com/vulnerability/7d3af3b5-5548-419d-aa32-1f7b51622615
wp_plugin,miniorange-limit-login-attempts,CVE-2021-24657,CVE-2021-24657,Limit Login Attempts WordPress - Stored Cross-site Scripting,,,,medium,6.1,https://wordpress.org/plugins/miniorange-limit-login-attempts
wp_plugin,contest-gallery,CVE-2021-24915,CVE-2021-24915,Contest Gallery < 13.1.0.6 - SQL injection,< 13.1.0.6,13.1.0.6,00013.00001.00000.00006,critical,9.8,https://wpscan.com/vulnerability/45ee86a7-1497-4c81-98b8-9a8e5b3d4fac
wp_theme,jannah,CVE-2021-24364,CVE-2021-24364,WordPress Jannah Theme <5.4.4 - Cross-Site Scripting,< 5.4.4,5.4.4,00005.00004.00004,medium,6.1,https://wpscan.com/vulnerability/1d53fbe5-a879-42ca-a9d3-768a80018382
wp_plugin,supportcandy,CVE-2021-24878,CVE-2021-24878,SupportCandy < 2.2.7 - Reflected Cross-Site Scripting,< 2.2.7,2.2.7,00002.00002.00007,medium,6.1,https://nvd.nist.gov/vuln/detail/CVE-2021-24878
wp_plugin,imagements,CVE-2021-24236,CVE-2021-24236,WordPress Imagements <=1.2.5 - Arbitrary File Upload,< 1.2.5,1.2.5,00001.00002.00005,critical,9.8,https://wpscan.com/vulnerability/8f24e74f-60e3-4100-9ab2-ec31b9c9cdea
wp_plugin,qubely,CVE-2021-24916,CVE-2021-24916,WordPress Qubely < 1.8.6 - Unauthenticated Email Sending,< 1.8.6,1.8.6,00001.00008.00006,high,5.3,https://wpscan.com/vulnerability/93b893be-59ad-4500-8edb-9fa7a45304d5/
wp_plugin,3dprint-lite,CVE-2021-4436,CVE-2021-4436,3DPrint Lite < 1.9.1.5 - Arbitrary File Upload,< 1.9.1.5,1.9.1.5,00001.00009.00001.00005,critical,9.8,https://wpscan.com/vulnerability/c46ecd0d-a132-4ad6-b936-8acde3a09282/
wp_plugin,wp-user-avatar,CVE-2021-34624,CVE-2021-34624,WordPress ProfilePress 3.0-3.1.3 - Arbitrary File Upload,,,,critical,9.8,https://wpscan.com/vulnerability/e12448ec-84a0-46aa-b280-5d9a80ee1e41/
wp_plugin,profilepress,CVE-2021-34622,CVE-2021-34622,WordPress ProfilePress <= 3.1.3 - Privilege Escalation,< 3.1.3,3.1.3,00003.00001.00003,critical,8.8,https://www.wordfence.com/blog/2021/06/easily-exploitable-critical-vulnerabilities-patched-in-profilepress-plugin/
wp_plugin,pie-register,CVE-2021-24239,CVE-2021-24239,WordPress Pie Register <3.7.0.1 - Cross-Site Scripting,< 3.7.0.1,3.7.0.1,00003.00007.00000.00001,medium,6.1,https://wpscan.com/vulnerability/f1b67f40-642f-451e-a67a-b7487918ee34
wp_plugin,registrations-for-the-events-calendar,CVE-2021-24876,CVE-2021-24876,Registrations for The Events Calendar < 2.7.5 - Authenticated Reflected Cross-Site Scripting,< 2.7.5,2.7.5,00002.00007.00005,medium,6.1,https://nvd.nist.gov/vuln/detail/CVE-2021-24876
wp_plugin,gtranslate,CVE-2021-34630,CVE-2021-34630,GTranslate < 2.8.65 - Cross-Site Scripting,< 2.8.65,2.8.65,00002.00008.00065,medium,6.1,https://wpscan.com/vulnerability/dfac81bb-7807-4288-aee3-43c7653c6446/
wp_plugin,yellow-pencil-visual-theme-customizer,CVE-2021-24934,CVE-2021-24934,Visual CSS Style Editor < 7.5.4 - Cross-Site Scripting,< 7.5.4,7.5.4,00007.00005.00004,medium,6.1,https://wpscan.com/vulnerability/0aa5a8d5-e736-4cd3-abfd-8e0a356bb6ef/
wp_plugin,contact-form-plugin,CVE-2021-24276,CVE-2021-24276,WordPress Supsystic Contact Form <1.7.15 - Cross-Site Scripting,< 1.7.15,1.7.15,00001.00007.00015,medium,6.1,https://wpscan.com/vulnerability/1301123c-5e63-432a-ab90-3221ca532d9c
wp_plugin,marmoset-viewer,CVE-2021-24495,CVE-2021-24495,Wordpress Marmoset Viewer <1.9.3 - Cross-Site Scripting,< 1.9.3,1.9.3,00001.00009.00003,medium,6.1,https://johnjhacking.com/blog/cve-2021-24495-improper-neutralization-of-input-during-web-page-generation-on-id-parameter-in-wordpress-marmoset-viewer-plugin-ver
wp_theme,jannah,CVE-2021-24407,CVE-2021-24407,WordPress Jannah Theme <5.4.5 - Cross-Site Scripting,< 5.4.5,5.4.5,00005.00004.00005,medium,6.1,https://wpscan.com/vulnerability/fba9f010-1202-4eea-a6f5-78865c084153
wp_plugin,ninja-forms,CVE-2021-24165,CVE-2021-24165,WordPress Ninja Forms <3.4.34 - Open Redirect,< 3.4.34,3.4.34,00003.00004.00034,medium,6.1,https://wpscan.com/vulnerability/6147acf5-e43f-47e6-ab56-c9c8be584818
wp_plugin,phastpress,CVE-2021-24210,CVE-2021-24210,WordPress PhastPress <1.111 - Open Redirect,< 1.111,1.111,00001.00111,medium,6.1,https://wpscan.com/vulnerability/9b3c5412-8699-49e8-b60c-20d2085857fb
wp_theme,jnews,CVE-2021-24342,CVE-2021-24342,WordPress JNews Theme <8.0.6 - Cross-Site Scripting,< 8.0.6,8.0.6,00008.00000.00006,medium,6.1,https://wpscan.com/vulnerability/415ca763-fe65-48cb-acd3-b375a400217e
wp_theme,realestate,CVE-2021-24387,CVE-2021-24387,WordPress Pro Real Estate 7 Theme <3.1.1 - Cross-Site Scripting,< 3.1.1,3.1.1,00003.00001.00001,medium,6.1,https://cxsecurity.com/issue/WLB-2021070041
wp_plugin,woocommerce-help-scout,CVE-2021-24212,CVE-2021-24212,WooCommerce Help Scout - Arbitrary File Upload,,,,critical,9.8,https://wpscan.com/vulnerability/cf9305e8-f5bc-45c3-82db-0ef00fd46129/
wp_plugin,popup-by-supsystic,CVE-2021-24275,CVE-2021-24275,Popup by Supsystic <1.10.5 - Cross-Site scripting,< 1.10.5,1.10.5,00001.00010.00005,medium,6.1,https://wpscan.com/vulnerability/efdc76e0-c14a-4baf-af70-9d381107308f
wp_plugin,wp-user-avatar,CVE-2021-24522,CVE-2021-24522,ProfilePress < 3.1.11 - Cross-Site Scripting,< 3.1.11,3.1.11,00003.00001.00011,medium,5.4,https://wpscan.com/vulnerability/25b51add-197c-4aff-b1a8-b92fb11d8697/
wp_plugin,cleantalk-spam-protect,CVE-2021-24295,CVE-2021-24295,"Spam protection, AntiSpam, FireWall by CleanTalk < 5.153.4 - Unauthenticated Blind SQL Injection",< 5.153.4,5.153.4,00005.00153.00004,high,7.5,https://wpscan.com/vulnerability/152171fc-888c-4275-a118-5a1e664ef28b
wp_plugin,photo-gallery,CVE-2021-24291,CVE-2021-24291,WordPress Photo Gallery by 10Web <1.5.69 - Cross-Site Scripting,< 1.5.69,1.5.69,00001.00005.00069,medium,6.1,https://wpscan.com/vulnerability/cfb982b2-8b6d-4345-b3ab-3d2b130b873a
wp_plugin,daggerhart-openid-connect-generic,CVE-2021-24214,CVE-2021-24214,WordPress OpenID Connect Generic Client 3.8.0-3.8.1 - Cross-Site Scripting,,,,medium,6.1,https://wpscan.com/vulnerability/31cf0dfb-4025-4898-a5f4-fc7115565a10
wp_plugin,wp-custom-pages,CVE-2021-24791,CVE-2021-24791,Header Footer Code Manager < 1.1.14 - Admin+ SQL Injection,< 1.1.14,1.1.14,00001.00001.00014,high,7.2,https://nvd.nist.gov/vuln/detail/CVE-2021-24791
wp_plugin,capability-manager-enhanced,CVE-2021-25032,CVE-2021-25032,PublishPress Capabilities < 2.3.1 - Missing Authorization,< 2.3.1,2.3.1,00002.00003.00001,critical,9.8,https://wpscan.com/vulnerability/2f0f1a32-0c7a-48e6-8617-e0b2dcf62727/
wp_plugin,stop-spammer-registrations-plugin,CVE-2021-24245,CVE-2021-24245,WordPress Stop Spammers <2021.9 - Cross-Site Scripting,< 2021.9,2021.9,02021.00009,medium,6.1,https://packetstormsecurity.com/files/162623/WordPress-Stop-Spammers-2021.8-Cross-Site-Scripting.html
wp_plugin,profile-builder,CVE-2021-24527,CVE-2021-24527,Profile Builder < 3.4.9 - Improper Authentication,< 3.4.9,3.4.9,00003.00004.00009,critical,9.8,https://wpscan.com/vulnerability/c142e738-bc4b-4058-a03e-1be6fca47207/
wp_plugin,wpcargo,CVE-2021-25003,CVE-2021-25003,WordPress WPCargo Track & Trace <6.9.0 - Remote Code Execution,< 6.9.0,6.9.0,00006.00009.00000,critical,9.8,https://wpscan.com/vulnerability/5c21ad35-b2fb-4a51-858f-8ffff685de4a
wp_plugin,optinmonster,CVE-2021-39341,CVE-2021-39341,OptinMonster Plugin < 2.6.5 - Unprotected REST-API,< 2.6.5,2.6.5,00002.00006.00005,high,8.2,https://nvd.nist.gov/vuln/detail/CVE-2021-39341
wp_plugin,giveasap,CVE-2021-24298,CVE-2021-24298,WordPress Simple Giveaways <2.36.2 - Cross-Site Scripting,< 2.36.2,2.36.2,00002.00036.00002,medium,6.1,https://codevigilant.com/disclosure/2021/wp-plugin-giveasap-xss/
wp_plugin,sassy-social-share,CVE-2021-24746,CVE-2021-24746,WordPress Sassy Social Share Plugin <3.3.40 - Cross-Site Scripting,< 3.3.40,3.3.40,00003.00003.00040,medium,6.1,https://wpscan.com/vulnerability/99f4fb32-e312-4059-adaf-f4cbaa92d4fa
wp_plugin,prismatic,CVE-2021-24409,CVE-2021-24409,Prismatic < 2.8 - Cross-Site Scripting,< 2.8,2.8,00002.00008,medium,6.1,https://wpscan.com/vulnerability/ae3cd3ed-aecd-4d8c-8a2b-2936aaaef0cf
wp_plugin,tatsu,CVE-2021-25094,CVE-2021-25094,Wordpress Tatsubuilder <= 3.3.11 - Remote Code Execution,< 3.3.11,3.3.11,00003.00003.00011,high,8.1,https://darkpills.com/wordpress-tatsu-builder-preauth-rce-cve-2021-25094/
wp_plugin,contact-form-entries,CVE-2021-25079,CVE-2021-25079,Contact Form Entries < 1.2.4 - Cross-Site Scripting,< 1.2.4,1.2.4,00001.00002.00004,medium,6.1,https://wpscan.com/vulnerability/c3d49271-9656-4428-8357-0d1d77b7fc63
